|name      |ra        |dec      |app_mag|spect_type|result_parallax|bv_color|ub_color|ri_color|
|Gl 31.4   |00 45 05.1|+01 47 36|  8.01 |K2 V      | 51.0          | 1.00   | 0.90   | 0.35   |
|NN 4203A  |21 33 48.6|+01 47 40| 13.35 |dM        | 68.6          | 1.68   |        | 1.22   |
|NN 4204B  |21 33 48.6|+01 47 40| 14.50 |m         | 68.6          |        |        | 1.29   |
|NN 4006   |17 26 10.7|+01 48 21| 10.90 |          | 73.7          | 0.67   |        | 0.30   |
|NN 3527   |09 01 11.4|+01 56 36| 11.82 |k         | 49.0          | 1.50   | 1.19   |        |
|Gl 207.1  |05 33 45.0|+01 56 48| 11.53 |dM2.5e    | 66.3          | 1.57   | 0.99   | 1.09   |
|Gl 123    |03 06 25.3|+01 58 45|  9.09 |M0 V      | 63.6          | 1.38   | 1.22   | 0.62   |
|NN 4129   |19 58 16.8|+02 02 46| 11.95 |k         | 63.1          | 1.55   | 1.33   | 1.02   |
|Gl 673    |17 25 47.3|+02 07 38|  7.53 |K7 V      |128.9          | 1.36   | 1.27   | 0.60   |
|Gl 287    |07 45 01.0|+02 08 24| 10.20 |dM0       | 43.0          | 1.37   | 1.31   | 0.60   |
|Gl 223    |05 54 28.2|+02 09 06|  8.83 |K3 V      | 39.0          | 1.02   | 0.90   | 0.38   |
|Gl 748.2A |19 14 57.4|+02 09 35| 10.20 |K4        | 45.9          | 1.19   |        | 0.51   |
|Gl 748.2B |19 14 57.4|+02 09 35| 11.17 |k-m       | 45.9          | 1.36   |        | 0.63   |
|NN 3313   |04 47 12.1|+02 09 36| 11.34 |k         | 53.0          | 1.48   | 1.20   |        |
|Gl 281    |07 39 24.1|+02 11 16|  9.61 |dM0       | 70.0          | 1.44   | 1.28   | 0.71   |
|NN 3307   |04 40 42.1|+02 13 57| 11.24 |M0        | 55.0          | 1.47   | 1.26   | 0.89   |
|NN 3775   |13 18 02.9|+02 14 07| 12.97 |m         | 68.0          |        |        | 1.21   |
|Wo 9083   |02 31 30.3|+02 16 03|  5.25 |K3 III    | 40.0          | 1.27   | 1.41   |        |
|Gl 838.4  |21 52 25.4|+02 23 32| 12.75 |DA3       | 40.4          | 0.01   |-0.77   |        |
|Gl 908    |23 49 09.6|+02 24 53|  8.98 |M2 Ve     |177.9          | 1.48   | 1.09   | 0.85   |
|NN 3644   |11 09 41.4|+02 27 19|  7.68 |G5        | 40.0          | 0.78   | 0.40   |        |
|Gl 702A   |18 05 26.9|+02 30 54|  4.21 |K0 Ve     |199.0          | 0.86   | 0.51   | 0.26   |
|Gl 702B   |18 05 26.9|+02 30 54|  6.00 |K5 Ve     |199.0          | 1.15   |        | 0.45   |
|Gl 596.1B |15 44 02.3|+02 30 59| 12.00 |          | 50.6          |        |        |        |
|Gl 596.1A |15 44 02.3|+02 30 59|  5.86 |G5 V      | 50.6          | 0.68   | 0.24   | 0.24   |
|NN 3410   |06 47 23.6|+02 31 04| 15.68 |DA8       | 54.6          | 0.32   |-0.53   |        |
|Gl 585.1  |15 27 43.3|+02 35 56| 10.21 |dM0       | 40.0          | 1.34   | 1.23   | 0.57   |
|NN 3867   |14 47 16.6|+02 42 17|  7.78 |G8 V      | 45.0          | 0.90   | 0.57   |        |
|NN 3379   |06 00 02.9|+02 42 24| 11.33 |M4        |186.3          | 1.68   | 1.10   |        |
|NN 3781A  |13 23 38.6|+02 43 16|  7.06 |G5 V      | 49.0          | 0.77   | 0.38   |        |
|NN 3782B  |13 23 40.6|+02 43 22|  7.36 |G5 V      | 49.0          | 0.83   | 0.51   |        |
|Gl 155.1  |03 47 59.4|+02 47 41| 11.04 |M1        | 48.0          | 1.50   |        | 0.82   |
|NN 3809AB |13 49 00.2|+02 47 43| 11.19 |M2:       | 68.0          | 1.57   | 1.21   | 0.94   |
|NN 3530   |09 05 05.1|+02 50 00| 11.61 |m         | 54.0          |        |        | 0.94   |
|NN 4366   |23 50 04.6|+02 52 29|  8.36 |G7 V      | 25.0          | 0.74   | 0.35   | 0.24   |
|Gl 748    |19 12 08.6|+02 53 41| 11.10 |dM4       | 99.4          | 1.51   | 1.04   | 1.15   |
|GJ 1058   |03 22 03.3|+02 57 06| 14.78 |m         | 59.4          | 1.76   |        | 1.33   |
|GJ 1211   |17 08 07.4|+02 57 52| 15.19 |DZ7       | 57.3          | 0.46   |-0.25   |        |
|Gl 378.2  |10 06 57.5|+02 57 56|  9.95 |dM0  e    | 53.0          | 1.39   | 1.28   | 0.64   |
|GJ 1155B  |12 16 53.5|+02 57 56| 15.32 |DA s      | 46.0          | 0.38   |        |        |
|GJ 1155A  |12 16 53.5|+02 57 56| 13.28 |sdM3      | 46.0          | 1.62   |        | 1.14   |
|NN 3153   |02 20 45.7|+02 58 42| 14.78 |m         | 41.0          | 1.69   |        |        |
|GJ 1080   |05 28 15.2|+02 59 06| 12.80 |M5 V      | 52.3          | 1.60   | 0.99   | 1.06   |
|Gl 429B   |11 26 48.3|+03 00 11|  7.58 |K2 IV-V   | 60.4          | 1.00   | 0.92   | 0.34   |
|NN 4278B  |22 26 15.4|+03 00 23| 17.70 |m         | 39.1          |        |        |        |
|Gl 429A   |11 26 47.3|+03 00 35|  6.50 |K0 IV     | 60.4          | 0.80   | 0.48   | 0.24   |
|NN 4277A  |22 26 15.4|+03 00 35| 13.68 |dM        | 39.1          | 1.59   | 1.06   | 1.22   |
|NN 3637   |11 01 15.7|+03 00 40| 14.07 |m         | 71.9          | 1.73   | 1.27   | 1.28   |
|Gl 165.2  |04 14 29.8|+03 01 06|  8.79 |K3 V      | 37.0          | 0.97   | 0.78   | 0.47   |
|Wo 9367   |11 34 22.2|+03 03 43|  5.77 |F6 V      | 38.0          | 0.46   | 0.01   |        |
|Gl 730    |18 50 01.3|+03 05 38| 10.74 |dM1.5     | 58.9          | 1.47   |        | 0.79   |
|Gl 760    |19 25 29.4|+03 06 48|  3.36 |F0 IV     | 72.5          | 0.32   | 0.04   |        |
|NN 3570   |09 52 39.8|+03 07 52| 10.58 |K4        | 52.7          | 1.40   | 1.24   | 0.63   |
|Wo 9322   |10 14 07.5|+03 09 23|  7.76 |G1 V      | 26.0          | 0.60   |-0.02   |        |
|GJ 1242   |19 41 54.5|+03 09 36| 12.88 |m         | 42.7          | 1.60   | 1.23   | 0.97   |
|NN 3892   |15 09 38.0|+03 09 38| 11.46 |M3        | 78.0          | 1.50   | 1.13   | 1.05   |
|NN 3899   |15 17 12.9|+03 10 26| 14.02 |DA wk     | 51.0          |        |        |        |
|NN 3158   |02 28 05.9|+03 11 24| 17.46 |m         | 45.1          | 2.06   |        |        |
|Gl 371    |09 52 12.8|+03 13 17|  8.86 |dM0  p    | 39.4          | 1.23   | 1.21   | 0.47   |
|Gl 106.1A |02 43 18.1|+03 14 18|  3.56 |A3 V      | 46.9          | 0.09   | 0.07   |        |
|Gl 106.1B |02 43 18.1|+03 14 18|  6.30 |dF3       | 46.9          |        |        |        |
|Wo 9566   |16 32 53.2|+03 14 55|  8.85 |K1        | 29.0          | 0.88   | 0.54   | 0.34   |
|NN 3962   |16 34 40.1|+03 18 02| 11.57 |k         | 48.0          | 1.48   | 1.24   |        |
|Gl 775    |20 02 47.5|+03 19 27|  7.46 |K4 V      | 70.6          | 1.14   | 1.08   | 0.42   |
|Gl 889.1  |23 08 04.9|+03 19 33| 10.91 |dM0       | 61.3          | 1.52   | 1.21   | 0.77   |
|NN 3474B  |08 02 22.2|+03 20 05| 17.00 |m+        | 41.0          |        |        |        |
|NN 3473A  |08 02 24.2|+03 20 41| 13.70 |k-m       | 41.0          |        |        | 1.17   |
|NN 4149   |20 34 41.8|+03 21 10| 12.00 |m         | 50.0          | 1.43   | 0.97   | 1.00   |
|Gl 137    |03 19 20.7|+03 22 09|  4.82 |G5 Ve     |104.5          | 0.68   | 0.20   | 0.23   |
|Gl 106.1C |02 42 30.2|+03 22 38| 10.16 |K5        | 42.0          | 1.36   | 1.28   | 0.57   |
|NN 3553   |09 20 57.4|+03 23 01| 13.33 |m         | 60.8          | 1.60   | 1.38   | 1.10   |
|NN 4257   |22 06 44.9|+03 25 22| 13.60 |M4        | 53.0          | 1.60   | 1.35   | 1.22   |
|Gl 266    |07 07 09.6|+03 27 04|  9.84 |dM0       | 42.0          | 1.29   |        | 0.53   |
|Gl 492    |13 00 10.7|+03 29 21| 15.79 |DC9       | 63.9          | 0.64   |-0.10   |        |
|NN 3237   |03 36 41.0|+03 29 33| 13.86 |dM5  :    | 70.0          |        |        |        |
|GJ 1041B  |01 59 11.7|+03 31 03| 14.00 |m         | 93.0          |        |        |        |
|GJ 1041A  |01 59 11.7|+03 31 03| 10.98 |k-m       | 93.0          | 1.52   | 0.98   | 1.09   |
|Gl 688    |17 39 17.6|+03 33 24|  6.52 |K3 V      | 81.0          | 0.96   | 0.77   | 0.50   |
|Gl 285    |07 44 41.5|+03 33 31| 11.20 |dM4.5e    |161.1          | 1.60   | 1.00   | 1.40   |
|NN 3404A  |06 42 10.9|+03 34 56| 12.06 |m         | 64.0          |        |        | 1.11   |
|NN 3405B  |06 42 13.9|+03 35 38| 13.33 |m         | 64.0          |        |        | 1.22   |
|Gl 87     |02 12 27.0|+03 36 03| 10.06 |dM2.5     | 86.7          | 1.44   | 1.08   | 0.87   |
|Gl 148    |03 41 11.1|+03 36 53|  9.59 |dM0  p    | 44.8          | 1.37   | 1.20   | 0.61   |
|NN 3289   |04 26 20.6|+03 37 26| 18.32 |m         | 58.7          |        |        |        |
|Gl 518    |13 36 45.0|+03 41 44| 14.65 |DZ9       |122.2          | 0.95   | 0.37   | 0.33   |
|Gl 828.1  |21 26 42.1|+03 44 15| 10.52 |dM1       | 52.6          | 1.38   | 1.20   | 0.67   |
|Gl 697.1  |17 55 25.4|+03 45 17| 10.13 |dM0  e    | 38.4          | 1.34   | 1.23   | 0.58   |
|NN 3321   |05 01 50.0|+03 45 59| 11.28 |M1        | 51.0          | 1.52   | 1.20   | 0.86   |
|NN 3778   |13 21 37.2|+03 46 01| 11.90 |m         | 44.0          |        |        | 0.92   |
|GJ 1188   |15 03 27.5|+03 46 24| 12.10 |m         | 27.0          | 1.46   | 1.12   | 0.76   |
|GJ 2040   |05 19 35.2|+03 52 26|  9.86 |M0 V      | 60.0          | 1.42   |        |        |
|NN 3772   |13 14 08.3|+03 53 56| 13.48 |m         | 46.0          | 1.64   |        | 1.16   |
|NN 3989   |17 09 34.3|+03 55 58|  7.95 |G5        | 48.0          |        |        |        |
|Wo 9067A  |02 02 04.0|+03 56 32| 10.62 |K4        | 26.0          | 1.22   |        |        |
|Gl 231.1B |06 17 11.7|+05 06 57| 13.42 |m+        | 61.0          | 1.41   | 1.10   | 1.24   |
|Wo 9067B  |02 02 04.0|+03 56 44| 12.40 |M1.5      | 26.0          |        |        |        |
|NN 3664   |11 27 38.5|+03 58 41| 10.68 |dM0       | 43.0          | 1.42   |        | 0.69   |
|NN 3485   |08 10 53.7|+03 58 51| 13.51 |m         | 55.0          |        |        | 1.22   |
|NN 4283   |22 34 46.1|+04 02 32| 12.68 |dM4  :    | 45.0          |        |        | 1.05   |
|Wo 9672   |19 55 02.7|+04 03 57|  9.40 |K3        | 30.0          | 0.99   | 0.80   | 0.40   |
|NN 3808   |13 48 48.5|+04 06 12| 14.34 |m         | 61.0          |        |        | 1.34   |
|Gl 736    |18 55 41.0|+04 16 02|  8.03 |G8 V      | 42.0          | 0.90   | 0.56   | 0.33   |
|Gl 70     |01 43 21.9|+04 19 59| 10.93 |dM2       |113.8          | 1.54   |        | 1.00   |
|NN 3328   |05 06 02.6|+04 20 11| 11.54 |g         | 59.0          | 1.51   | 1.17   |        |
|NN 4072   |18 43 25.8|+04 20 21| 14.92 |DA6       | 40.4          | 0.14   |-0.59   |        |
|Wo 9782A  |22 26 36.8|+04 23 36|  5.75 |F7 V      | 41.1          | 0.52   | 0.04   |        |
|Wo 9782B  |22 26 36.8|+04 23 36| 11.70 |K4:       | 41.1          |        |        |        |
|Gl 98A    |02 27 45.8|+04 25 42|  9.36 |K7 V      | 60.9          | 1.39   | 1.11   | 0.67   |
|Gl 98B    |02 27 45.8|+04 25 42|  9.50 |K7 V      | 60.9          |        |        |        |
|NN 4180   |21 05 56.3|+04 25 51| 12.18 |m         | 43.1          | 1.49   | 1.14   | 1.03   |
|Gl 339AB  |09 14 54.3|+04 26 31|  8.04 |dK5       | 48.9          | 1.02   | 0.85   | 0.45   |
|NN 3921   |15 50 48.3|+04 28 36|  3.71 |A2 m      | 38.4          | 0.15   | 0.11   | 0.06   |
|Gl 418    |11 13 13.9|+04 28 58|  8.69 |K5 V      | 56.0          | 1.18   | 1.12   | 0.46   |
|NN 3288   |04 26 18.5|+04 33 02| 17.11 |DC9       | 43.0          | 1.10   |        |        |
|Gl 699    |17 57 51.5|+04 33 03|  9.55 |M5 V      |545.3          | 1.74   | 1.29   | 1.25   |
|Gl 763    |19 34 37.9|+04 34 43|  9.36 |dM0.5     | 73.7          | 1.39   | 1.23   | 0.61   |
|Gl 702.2  |18 05 37.3|+04 39 43|  6.80 |G2 V      | 50.0          | 0.62   | 0.04   | 0.22   |
|GJ 1182   |14 15 34.7|+04 40 05| 14.30 |m         | 71.8          | 1.72   | 1.30   | 1.47   |
|GJ 1172   |13 34 20.5|+04 40 09|  9.97 |dM0.5     | 57.0          | 1.38   | 1.21   | 0.68   |
|Wo 9169A  |04 55 55.9|+04 40 12|  7.02 |F8        | 29.0          | 0.55   | 0.06   |        |
|Wo 9169B  |04 55 53.9|+04 40 24| 14.60 |k         | 29.0          |        |        |        |
|GJ 1057   |03 13 16.8|+04 46 23| 13.80 |m         |118.1          | 1.82   | 1.15   | 1.48   |
|NN 4035   |17 56 12.1|+04 50 02|  8.00 |dK8       | 46.0          |        |        |        |
|NN 3946   |16 14 45.6|+04 52 07| 13.53 |m         | 47.0          |        |        | 1.18   |
|NN 3078B  |01 11 56.5|+04 54 31| 13.91 |m         | 64.6          | 1.70   |        | 1.24   |
|NN 3077A  |01 11 54.5|+04 55 31| 12.89 |m         | 64.6          | 1.62   |        | 1.14   |
|Wo 9605   |17 47 44.0|+04 56 31|  8.92 |K1 V      | 39.4          | 0.84   | 0.47   | 0.31   |
|Gl 795A   |20 39 34.4|+04 58 15|  8.18 |K4 V      | 63.5          | 1.22   | 1.17   | 0.54   |
|Gl 795B   |20 39 34.4|+04 58 15|  9.40 |K8 V      | 63.5          |        |        |        |
|GJ 1214   |17 15 17.1|+04 58 22| 14.67 |m         | 77.4          | 1.74   | 1.17   | 1.39   |
|NN 3461   |07 41 54.1|+05 02 30| 12.71 |m         | 48.0          |        |        | 1.08   |
|NN 3624   |10 49 04.6|+05 02 49| 19.11 |m         | 40.9          |        |        |        |
|NN 3104   |01 39 31.2|+05 03 24| 12.83 |M5        | 41.0          |        |        |        |
|NN 3071   |01 02 23.3|+05 03 31|  8.20 |K0        | 43.0          | 1.00   | 0.86   |        |
|GJ 1027   |01 03 49.3|+05 04 23| 13.96 |DA6       | 46.8          | 0.31   |-0.57   |        |
|Gl 231.1A |06 17 16.7|+05 05 50|  5.70 |F9 V      | 61.0          | 0.60   | 0.10   | 0.22   |
|Gl 398    |10 36 04.0|+05 07 08| 12.60 |dM4  e    | 73.0          | 1.60   | 1.12   | 1.19   |
|GJ 1007   |00 16 56.2|+05 07 58| 13.79 |m         | 56.6          | 1.62   |        | 1.30   |
|NN 4252   |22 05 04.9|+05 08 06| 13.60 |M3        | 41.0          | 1.51   | 0.98   | 1.20   |
|Gl 435.1  |11 41 48.3|+05 08 51|  9.60 |K5        | 45.0          | 1.25   | 1.20   | 0.52   |
|Gl 752B   |19 17 00.1|+05 10 07| 17.52 |dM5  e    |176.7          | 2.20   |        | 1.83   |
|Gl 752A   |19 16 57.1|+05 11 13|  9.11 |M3.5Ve    |176.7          | 1.50   | 1.15   | 1.02   |
|NN 3538   |09 09 54.0|+05 12 15|  8.38 |K4        | 44.0          | 1.01   | 0.91   | 0.35   |
|Wo 9429   |13 08 50.9|+05 13 01|  6.80 |G5 IV     | 45.6          | 0.67   | 0.18   | 0.20   |
|Gl 280B   |07 39 20.4|+05 14 22| 10.70 |DA        |285.8          |        |        |        |
|Gl 280A   |07 39 20.4|+05 14 22|  0.38 |F5 IV-V   |285.8          | 0.42   | 0.02   | 0.14   |
|Gl 333.2B |09 00 51.2|+05 14 37| 12.68 |dM4       | 42.0          | 1.47   | 1.08   | 1.12   |
|Gl 333.2A |09 00 49.2|+05 14 49| 12.34 |dM4       | 42.0          | 1.45   | 1.07   | 1.08   |
|Gl 895.2  |23 28 48.9|+05 15 02| 13.04 |DAV4      | 72.7          | 0.16   |-0.64   | 0.02   |
|Gl 100.1  |02 30 16.4|+05 15 54| 12.79 |DA3       | 45.0          |-0.04   |-0.83   |        |
|Gl 273    |07 27 22.5|+05 16 35|  9.85 |M3.5      |264.4          | 1.56   | 1.16   | 1.21   |
|NN 4265   |22 13 53.1|+05 16 36| 11.79 |dM2       | 41.0          | 1.49   |        | 0.87   |
|Gl 33     |00 48 20.0|+05 17 45|  5.74 |K2 V      |135.9          | 0.88   | 0.58   | 0.33   |
|GJ 1087   |05 56 27.0|+05 22 33| 14.10 |DAP9      |125.1          | 0.60   |-0.14   | 0.25   |
|Wo 9158   |04 33 50.5|+05 23 19|  7.93 |K1        | 37.0          | 0.79   | 0.35   |        |
|Gl 632.3  |16 38 40.8|+05 25 31| 10.22 |G         | 19.0          | 0.99   |        |        |
|Gl 35     |00 49 06.0|+05 25 33| 12.38 |DZ7       |230.9          | 0.55   | 0.02   | 0.16   |
|NN 3084   |01 17 53.8|+05 28 53| 11.05 |dM2       | 50.0          |        |        | 0.82   |
|Wo 9572   |16 39 49.7|+05 30 41|  8.67 |K2        | 32.0          | 0.89   | 0.60   |        |
|Gl 678.1A |17 30 22.3|+05 33 10|  9.30 |M1 V      |100.0          | 1.49   | 1.23   | 0.76   |
|NN 3885   |15 01 20.1|+05 33 12| 12.10 |M3        | 63.0          | 1.45   | 0.89   | 1.10   |
|NN 3463   |07 51 50.6|+05 33 15| 14.75 |m         | 62.8          | 1.82   |        | 1.47   |
|NN 3584   |10 04 33.0|+05 33 55| 12.66 |M0        | 42.0          | 1.50   | 1.22   | 1.03   |
|NN 4231   |21 52 10.3|+05 37 37| 12.11 |dM2       | 64.0          | 1.53   | 1.09   | 1.09   |
|Gl 904    |23 39 56.2|+05 37 56|  4.13 |F7 V      | 72.5          | 0.51   |-0.00   | 0.19   |
|Gl 576    |15 04 55.9|+05 38 41|  9.82 |K5        | 56.4          | 1.31   | 1.12   | 0.58   |
|Gl 838.1B |21 49 34.3|+05 39 01| 14.90 |m         | 41.0          | 1.75   | 1.19   | 1.28   |
|Gl 349    |09 29 56.9|+05 39 13|  7.20 |K3 Ve     | 88.6          | 1.00   | 0.90   | 0.37   |
|Gl 493.1  |13 00 37.0|+05 40 57| 13.40 |dM5  e    |122.8          | 1.75   | 1.10   | 1.43   |
|NN 4323   |23 16 51.5|+05 41 48| 10.52 |dM0.5     | 40.0          | 1.41   | 1.25   | 0.62   |
|Gl 838.1A |21 49 10.2|+05 43 24|  8.65 |K3 V      | 41.0          | 1.04   | 0.92   | 0.39   |
|NN 3261   |04 05 38.6|+05 44 41| 12.89 |dM5  e    | 63.0          |        |        |        |
|NN 4304A  |22 55 55.9|+05 45 32| 11.26 |dM0       | 45.0          | 1.45   | 1.19   | 0.82   |
|NN 4305B  |22 55 54.9|+05 45 38| 15.70 |DB        | 45.0          |        |        |        |
|NN 3857   |14 32 30.5|+05 46 24| 10.64 |dM0       | 47.7          | 1.23   | 1.14   | 0.60   |
|Wo 9082   |02 26 00.7|+05 46 41|  7.95 |G9        | 36.0          | 0.81   | 0.32   |        |
|NN 4024   |17 43 00.0|+05 47 22| 10.67 |M2        | 64.0          |        |        | 0.85   |
|NN 4220   |21 47 56.1|+05 49 39| 11.79 |M1.5      | 40.0          | 1.43   | 1.15   | 0.86   |
|NN 3224   |03 25 43.0|+05 51 59| 14.70 |m+        | 77.0          |        |        | 1.46   |
|NN 3205   |03 10 15.7|+05 54 57| 11.88 |dM4       | 53.0          |        |        | 0.98   |
|NN 3631   |10 52 16.9|+05 55 09| 14.40 |m         | 46.0          |        |        | 1.28   |
|Gl 740    |18 58 01.1|+05 55 30|  9.22 |M2 V      | 94.6          | 1.46   | 1.17   | 0.76   |
|NN 3583   |10 03 35.2|+05 57 51| 13.17 |m         | 46.0          |        |        | 1.13   |
|NN 3939   |16 07 29.6|+05 58 09| 13.46 |m         | 43.0          |        |        | 1.15   |
|GJ 1248   |20 03 51.8|+06 00 25| 12.09 |k-m       | 78.9          | 1.60   | 1.14   | 0.96   |
|GJ 1146   |11 21 41.0|+06 09 39| 13.58 |k-m       | 54.0          | 1.64   | 1.27   | 1.09   |
|NN 4345   |23 35 40.0|+06 10 54| 16.10 |m         | 42.2          | 1.78   |        |        |
|Wo 9771   |22 10 11.5|+06 11 53|  3.53 |A2 V      | 48.1          | 0.08   | 0.10   |        |
|NN 3184   |02 51 49.6|+06 13 47| 13.19 |dM3       | 44.0          | 1.58   |        |        |
|NN 3465   |07 52 33.3|+06 18 37| 13.56 |m         | 40.0          |        |        | 1.14   |
|Gl 712    |18 22 10.4|+06 20 26| 12.58 |M3        | 69.1          | 1.48   | 1.07   | 1.11   |
|NN 4329   |23 17 33.4|+06 23 42| 12.53 |dM4       | 49.0          | 1.55   | 1.28   |        |
|Gl 771B   |19 55 18.3|+06 24 47| 11.40 |M3        | 74.3          |        |        |        |
|Gl 771A   |19 55 18.3|+06 24 47|  3.72 |G8 IV     | 74.3          | 0.86   | 0.48   | 0.31   |
|Gl 596.2  |15 44 15.5|+06 25 30|  2.64 |K2 III    | 49.7          | 1.17   | 1.24   | 0.38   |
|Gl 179    |04 52 04.9|+06 28 46| 11.98 |dM4  e    | 76.7          | 1.56   | 1.22   |        |
|Gl 310.1A |08 35 51.9|+06 37 16|  5.99 |F8 V      | 43.7          | 0.52   | 0.04   |        |
|Gl 310.1B |08 35 51.9|+06 37 28|  7.25 |G5 IV-V   | 43.7          | 0.71   | 0.27   |        |
|NN 3173   |02 38 30.6|+06 37 44| 15.09 |DA8       | 59.0          | 0.44   |-0.51   |        |
|NN 4213   |21 44 14.5|+06 38 36| 12.07 |dM3       | 53.0          | 1.53   | 1.21   |        |
|Gl 784.2A |20 13 59.3|+06 41 39| 13.19 |dM5       | 44.4          | 1.54   | 1.22   | 1.20   |
|NN 3537   |09 09 39.2|+06 41 46| 13.35 |M4  e     | 42.0          | 1.57   |        | 1.13   |
|Gl 784.2B |20 13 56.3|+06 43 08| 15.72 |DA7       | 44.4          | 0.37   |-0.40   | 0.29   |
|NN 4319   |23 16 08.3|+06 44 47| 13.14 |k         | 63.0          | 1.63   | 1.26   |        |
|NN 3392   |06 20 46.6|+06 45 17| 16.37 |DA9       | 44.8          | 0.55   |-0.17   |        |
|NN 3387   |06 11 59.7|+06 47 07|  6.87 |G4 V      | 39.0          | 0.63   | 0.13   |        |
|Gl 563.3  |14 50 23.3|+06 48 57|  9.08 |K2 V      | 31.0          | 0.96   | 0.76   | 0.36   |
|Gl 402    |10 50 55.2|+06 49 11| 11.65 |dM5       |145.1          | 1.67   | 1.16   | 1.25   |
|NN 4279   |22 27 02.6|+06 49 37| 13.22 |dM3   :   | 72.0          | 1.66   |        |        |
|Gl 105B   |02 36 09.7|+06 51 02| 11.66 |dM4.5     |129.4          | 1.60   | 1.11   | 1.25   |
|Gl 105A   |02 35 58.7|+06 52 03|  5.82 |K3 V      |129.4          | 0.98   | 0.80   | 0.36   |
|NN 3171   |02 37 02.8|+06 54 00| 16.00 |M5  e     | 48.0          |        |        | 1.85   |
|NN 4142   |20 16 55.1|+06 55 19|  9.72 |dK8       | 33.0          | 1.14   | 1.08   | 0.44   |
|GJ 2074   |09 41 59.5|+06 57 17| 14.90 |DA7       | 58.0          | 0.30   |-0.55   |        |
|Gl 178    |04 49 48.5|+06 57 38|  3.19 |F6 V      |133.1          | 0.45   |-0.01   | 0.16   |
|NN 4370   |23 51 45.4|+06 58 29| 12.73 |m         | 54.0          |        |        | 1.12   |
|NN 3693   |11 53 52.0|+07 00 36| 17.89 |M6  :     | 70.6          | 1.72   |        |        |
|GJ 1236   |19 22 05.1|+07 02 58| 12.35 |m         | 91.5          | 1.69   | 1.33   | 1.09   |
|Gl 406    |10 56 42.1|+07 03 09| 13.45 |M6        |418.3          | 2.00   | 1.21   | 1.84   |
|Gl 818    |21 05 19.1|+07 04 37|  8.30 |K6 V      | 58.6          | 1.22   | 1.16   | 0.50   |
|NN 3454   |07 36 24.4|+07 04 58| 13.22 |m         |162.0          |        |        | 1.48   |
|NN 4111   |19 29 04.1|+07 09 27| 10.71 |K7        | 47.0          | 1.41   | 1.21   |        |
|NN 3884   |15 01 12.8|+07 09 53| 12.73 |M3.5      | 62.0          | 1.49   |        | 1.17   |
|GJ 1102A  |07 50 14.3|+07 13 04| 16.69 |DC9       | 58.6          | 1.10   |        |        |
|GJ 1102B  |07 50 13.3|+07 13 16| 16.98 |DC9       | 58.6          | 1.30   |        |        |
|NN 3467   |07 58 10.3|+07 17 03| 13.77 |m         | 70.0          |        |        | 1.31   |
|NN 4195   |21 27 47.5|+07 18 30| 11.60 |M0.5      | 40.3          | 1.56   | 1.22   | 0.85   |
|Gl 626    |16 27 57.8|+07 18 35|  8.83 |dK8       | 61.0          | 1.23   | 1.22   | 0.50   |
|Gl 598    |15 46 27.5|+07 21 14|  4.43 |G0 V      | 83.9          | 0.60   | 0.11   | 0.20   |
|GJ 1210   |17 07 42.3|+07 22 26| 14.01 |m         | 78.0          | 1.88   | 1.44   | 1.41   |
|Wo 9661   |19 34 04.9|+07 22 53|  4.45 |K3 IIIb   | 46.1          | 1.17   | 1.26   |        |
|GJ 1222   |17 54 20.1|+07 23 00| 13.11 |m         | 59.8          | 1.55   | 1.11   | 1.23   |
|Wo 9251B  |08 07 09.2|+07 23 05| 10.86 |K8        | 27.0          |        |        | 0.56   |
|Wo 9251A  |08 07 09.2|+07 23 05| 10.45 |dK8       | 27.0          | 1.24   | 1.18   | 0.46   |
|NN 3633   |10 56 31.2|+07 23 22|  7.34 |K0        | 63.0          | 0.92   | 0.66   |        |
|NN 3095   |01 22 56.7|+07 24 57|  7.33 |G5        | 66.0          |        |        |        |
|GJ 2152   |21 13 28.0|+07 26 08| 16.17 |f         | 41.6          | 0.45   |-0.36   |        |
|NN 3174   |02 39 16.2|+07 28 24| 14.27 |m         | 45.0          |        |        | 1.26   |
|NN 3039   |00 32 34.9|+07 29 33| 12.70 |m         | 86.0          |        |        | 1.24   |
|NN 4088   |18 57 10.2|+07 34 32| 11.20 |m         | 48.0          |        |        | 0.83   |
|NN 4383   |23 58 32.7|+07 39 48| 11.74 |M3        | 56.6          | 1.51   | 1.18   | 1.10   |
|NN 3757   |12 59 26.4|+07 43 56| 16.00 |m+        | 52.0          |        |        | 1.53   |
|NN 3368   |05 48 23.8|+07 45 51| 14.19 |m         | 45.0          |        |        | 1.25   |
|Gl 518.1  |13 36 59.0|+07 46 20| 10.02 |K4        | 27.0          | 1.09   | 0.92   | 0.44   |
|Gl 323B   |08 50 42.6|+07 51 51|  9.90 |          | 54.0          |        |        |        |
|Gl 323A   |08 50 42.6|+07 51 51|  9.77 |dM0  pJ   | 54.0          | 1.36   | 1.20   | 0.62   |
|NN 3163   |02 32 59.4|+07 53 17|  8.89 |G5        | 40.0          | 1.15   | 0.75   |        |
|NN 4092   |18 59 37.7|+07 59 19| 10.86 |M2        | 43.0          | 1.42   | 1.26   | 0.73   |
|NN 4144   |20 19 39.1|+08 00 29| 12.92 |m         | 45.0          |        |        | 1.09   |
