|name      |ra        |dec      |app_mag|spect_type|result_parallax|bv_color|ub_color|ri_color|
|NN 3401B  |06 38 00.3|-61 32 02|  8.30 |          | 46.0          |        |        |        |
|Wo 9468   |14 10 05.8|-61 30 46|  9.68 |G9 V      | 42.5          | 0.78   | 0.28   | 0.29   |
|NN 3103   |01 38 28.0|+00 38 56| 11.55 |k         | 54.0          |        |        | 0.93   |
|Gl 825.1  |21 18 41.1|-61 20 45|  6.60 |G5 V      | 46.6          | 0.68   | 0.25   | 0.24   |
|Gl 260    |07 00 00.8|-61 20 24|  6.82 |K0 IV-V   | 63.0          | 0.80   | 0.43   | 0.39   |
|Gl 297.1  |08 09 01.7|-61 17 53|  4.76 |F5 V      | 53.0          | 0.43   |-0.03   | 0.26   |
|NN 4331   |23 18 46.5|-61 15 17| 11.20 |M3        | 43.0          | 1.41   |        | 0.80   |
|NN 3618   |10 44 34.2|-61 12 59| 13.92 |m         |222.8          | 1.82   |        | 1.68   |
|Gl 181.1  |04 55 51.0|-61 09 16| 12.06 |m         | 27.0          | 1.48   | 1.11   | 0.75   |
|GJ 1022   |00 49 26.3|-61 01 22| 12.16 |M6        | 46.0          | 1.46   | 1.05   | 0.99   |
|NN 4244   |21 59 32.2|-60 55 55|  9.55 |K7        | 45.0          | 1.25   |        | 0.51   |
|Gl 559B   |14 40 00.7|-60 50 41|  1.34 |K0 V      |749.0          | 0.84   | 0.64   | 0.29   |
|Gl 559A   |14 40 00.7|-60 50 41|  0.01 |G2 V      |749.0          | 0.64   | 0.23   | 0.22   |
|NN 4081   |18 52 05.5|-60 46 00| 13.40 |m         | 49.0          |        |        | 1.18   |
|Gl 656    |17 10 09.8|-60 44 10|  7.41 |K0 V      | 67.8          | 0.89   | 0.53   | 0.33   |
|Gl 794.2  |20 40 00.4|-60 32 28|  5.12 |F8 V      | 55.0          | 0.53   | 0.01   | 0.20   |
|GJ 1283   |23 19 05.6|-60 31 11|  8.97 |K4 V      | 49.0          | 1.15   | 1.05   | 0.48   |
|Gl 204.1  |05 27 40.1|-60 24 56|  6.99 |G5 Ve     | 49.0          | 0.77   | 0.31   | 0.26   |
|Gl 294A   |07 57 43.8|-60 18 17|  5.60 |G2 V      | 63.0          | 0.57   | 0.02   | 0.20   |
|Gl 294C   |07 57 51.9|-60 17 59| 13.50 |          | 63.0          |        |        |        |
|Gl 294B   |07 57 51.9|-60 17 59|  9.88 |k         | 63.0          | 1.34   | 1.09   | 0.76   |
|Gl 341    |09 21 43.2|-60 17 03|  9.50 |M0 V      | 99.4          | 1.48   | 1.18   | 0.78   |
|Gl 81.2   |01 56 29.0|-60 13 46|  8.60 |K5 V      | 57.0          | 1.16   | 1.11   | 0.45   |
|GJ 1056   |03 08 21.2|-60 10 30|  9.35 |K5 V      | 47.0          | 1.22   | 1.14   | 0.50   |
|Gl 389A   |10 22 22.4|-60 10 17| 10.72 |M3        | 55.0          | 1.43   | 1.12   | 0.80   |
|Gl 389B   |10 22 22.4|-60 10 05| 12.63 |m         | 55.0          | 1.49   |        | 1.07   |
|NN 4332   |23 20 18.6|-60 03 34| 10.99 |M2        | 46.0          | 1.45   |        | 0.78   |
|GJ 1277   |22 56 31.4|-60 02 16| 14.08 |M4        | 90.0          | 1.79   | 1.45   | 1.42   |
|Gl 842    |21 59 28.4|-59 45 01|  9.75 |M2        | 77.2          | 1.49   | 1.18   | 0.81   |
|Wo 9202   |06 06 05.2|-59 31 55|  8.46 |K0 V      | 31.0          | 0.85   | 0.45   | 0.29   |
|Gl 29     |00 40 20.4|-59 27 38|  5.90 |G1 V      | 56.7          | 0.56   | 0.01   | 0.18   |
|Wo 9242   |07 49 24.6|-59 22 39|  7.50 |G5 V      | 33.0          | 0.68   | 0.19   |        |
|Gl 542    |14 19 07.1|-59 22 06|  6.66 |K3 V      |104.9          | 1.03   | 0.94   | 0.34   |
|Gl 167.3  |04 16 29.3|-59 17 59|  4.44 |K2 IV     | 67.0          | 1.07   | 1.08   | 0.37   |
|Wo 9209B  |06 16 18.9|-59 12 34| 14.09 |DB4       | 44.0          |-0.09   |-0.95   |        |
|Wo 9209A  |06 16 18.9|-59 12 34|  6.43 |G3 V      | 44.0          | 0.59   | 0.14   | 0.19   |
|Gl 503AB  |13 14 16.4|-59 06 05|  4.92 |F7 IV     | 52.2          | 0.48   |-0.03   | 0.17   |
|Gl 333.1  |08 59 25.7|-59 05 15|  5.16 |F3 V      | 53.0          | 0.42   |-0.02   |        |
|Wo 9664B  |19 42 32.8|-59 00 25|  8.70 |          | 36.0          |        |        |        |
|Wo 9664A  |19 42 32.8|-59 00 25|  7.48 |G5 V      | 36.0          | 0.71   | 0.28   |        |
|Gl 175A   |04 40 18.3|-58 56 47|  7.19 |G5 V J    | 39.0          | 0.68   | 0.24   | 0.22   |
|Gl 175B   |04 40 18.3|-58 56 47|  7.40 |          | 39.0          |        |        |        |
|Gl 10.1   |00 11 31.8|-58 54 36|  8.35 |G4 V      | 20.0          | 0.62   | 0.13   | 0.32   |
|Gl 404.1  |10 53 28.8|-58 51 11|  3.78 |K1 III    | 57.0          | 0.95   | 0.65   | 0.46   |
|Gl 580.1  |15 17 31.6|-58 47 59|  4.07 |A3 V      | 51.6          | 0.09   | 0.09   | 0.05   |
|Gl 238    |06 33 52.8|-58 32 20| 11.62 |m         | 71.0          | 1.51   | 1.16   | 1.02   |
|Wo 9819   |23 18 35.0|-58 18 17|  7.52 |G2 V      | 29.0          | 0.65   | 0.04   |        |
|Gl 788.1  |20 22 37.5|-58 16 47| 10.59 |m         | 51.2          | 1.46   | 1.16   | 0.68   |
|Gl 714    |18 30 12.1|-58 16 04|  9.85 |M1        | 69.2          | 1.48   | 1.20   | 0.95   |
|Wo 9818   |23 17 25.5|-58 14 12|  3.99 |F1 III    | 41.0          | 0.40   |-0.04   |        |
